ProductID,ProductName,Description,Price,Inventory,ProductImage,CategoryID
51,"Vetnoderm Medicated Herbal Soap","Medicated herbal soap for treating scabies, demodicosis, ticks, and fungal skin infections. Safe for dogs and cats (1 month and older)",350,0,51.png,3
52,"KIPRUN Pet Nail Grinder","Pet nail grinder with 2 speeds, 3 port sizes, ultra-quiet (under 50 dB), rechargeable, and 4-hour battery life.",591,0,52.png,3
53," Nail Clipper Cutter + File Set","Nail clipper and file set for easy pet grooming and nail care.",150,0,53.png,3
54,"Care Kind Baby Fresh Dog Shampoo","500ml dog shampoo with 20:1 dilution, baby powder scent, pH balanced, suitable for all breeds and puppies over 8 weeks. Deep cleans, removes odors, and leaves coat soft, shiny, and fresh.",379,0,54.png,3
55,"Pampered Pooch Anti Tick and Flea Pet Cologne","2-in-1 anti-tick and flea pet cologne for dogs and cats (12 weeks+), with a stylish fragrance, low alcohol, and helps keep pets fresh and clean.",180,13,55.png,3
56,"FURMOMKHAI - PET POWDER","Anti-tick and flea pet powder in various scents, keeps pets fresh, clean, and comfortable. Suitable for dogs and cats 12 weeks+.",170,22,56.png,3
57,"Pet Story Potty Training Spray ","Pet defecation inducer for training dogs to excrete at a fixed point. Safe, odorless, and environmentally friendly, suitable for all dogs and cats. 50ml capacity.",150,23,57.png,3
58,"Goodies Long Lasting Dental Bar Bacon Dog Treats","Bacon-flavored dental treats for medium and large dogs, designed to clean teeth and gums, reduce plaque and tartar, and promote healthy chewing. No added grain, corn, or soy, and low in fat.",99,25,58.png,4
59,"Sleeky Chewy Strap Bacon Flavored","Chewy straps are a safe, easily digestible treat for all dog breeds—perfect for chewing and supporting overall health.",79,16,59.png,4
60,"Sleeky Chewy Snack Stick Beef and Cheese","Beef and cheese-flavored chewy sticks made with real meat, ideal for all breeds and life stages. Easily digestible, healthy, and perfect as a reward or anytime treat.",79,9,60.png,4
61,"Pedigree Tasty Bites Chewy Bones Beef Dog Treats ","Soft, beef-flavored chewy bone treats that are low in fat—perfect for training, rewarding, or anytime treating.",105,15,61.png,4
62,"Bokbok Giant Chewy Stick Dog Treats","Organic, hypoallergenic chewy stick made with high-protein fish—no salt, no chicken, ideal for dogs with allergies.",75,16,62.png,4
63,"Bokbok Tuna Bone Sticks Dog Treats","Organic, hypoallergenic tuna bone sticks made with high-protein fish—no salt, no chicken, perfect for dogs with allergies.",150,9,63.png,4
64,"Pet Plus Doggie Biscuits","100% all-natural round dog treats in mixed flavors like milk, cheese, melon, and vegetable—tasty, nutritious, and fun-shaped. Made in Thailand.",140,19,64.png,1
65,"Sleeky Chewy Snack Strap & Stick Treats","Chewy sticks and straps made with real meat—nutritionally complete, easily digestible, and perfect as a reward or anytime treat for all breeds and life stages.",50,7,65.png,4
66,"CESAR Filets in Gravy Wet Dog Food","Wet dog food variety pack with real beef or chicken in filet mignon, rotisserie, and wood-grilled flavors. No fillers or artificial flavors—great as a meal or topper.",299,10,66.png,4
67,"Harringtons Turkey","High-meat adult dog kibble made with 26% turkey, added chicken gravy, and natural ingredients. Supports digestion, immunity, coat health, and odor control—no dairy or artificial nasties.",250,19,67.png,4
68," SmartHeart Dog Treat Fruit And Veggie Grilled Beef Chicken ","Bite-sized dog treats enriched with fruits and vegetables—wholesome, flavorful, and nutritious for a satisfying snack.",223,11,68.png,4
69,"Sleeky Chewy Snack Stick Lamb Flavored","Chewy sticks that are safe, easily digestible, and provide various health benefits while giving your dog a satisfying chew.",79,21,69.png,4
70,"Milky Biscuit","Calcium-fortified milky biscuits with essential vitamins and nutrients, promoting healthy teeth and bones. Flavored with milk, beef, and liver for a tasty treat.",99,16,70.png,4
71,"Royal Canin Veterinary Diabetic Dog","Royal Canin Veterinary Diabetic Dog food, specially formulated to meet the nutritional needs of diabetic dogs for optimal health and management.",499,5,71.png,4
72,"Pet Plus Train and Reward","Cereal-based dog treat rich in protein, cholesterol-free, aids digestion, and low in saturated fat for a healthy diet.",184,23,72.png,4
73,"Pedigree Dentastix Toy 60g","Dental treat for adult toy breed dogs (9 months+), with an X-shape design to reduce tartar and plaque, promoting clean teeth and fresh breath. Each pack contains 60g of Pedigree Dentastix Toy.",86,30,73.png,4
74,"PEDIGREE BISCROK Original Dog Treats","Pedigree dog biscuits in lamb, chicken, and beef flavors, enriched with vitamins, calcium, and cereals. No artificial colors or flavors, supporting a healthy diet with Omega 3.",134,11,74.png,4
75,"Vitakraft Joesie + Chicken & Carrot with Pea ","Vitakraft Joesie heart-shaped trays offer a balanced mix of meats, vegetables, and high-quality ingredients for your dog’s delight. Made with love, featuring chicken, carrots, peas, and milk.",55,12,75.png,4
76,"Dog Collar Pendant Handmade Pet Collar Ties","Adjustable candy collar for cats and dogs, available in green avocado, yellow poached egg, pink girl, and blue cat's paw colors. Made from cotton polyester with alloy pendants, suitable for all seasons.",48,3,76.png,5
77,"Collapsible Cage","Collapsible pet cage available in medium, large, XL, and XXL sizes, suitable for dogs, cats, rabbits, and more. Sizes range from 19"x12"x15" to 30"x20"x22".",830,2,77.png,5
78,"Zeedog Neopro Dog Collar","Zee.Dog NeoPro™ Dog collar with weatherproof rubber, 4-point locking buckle, and adjustable fit—perfect for outdoor adventures and easy to clean.",230,13,78.png,5
79,"ZEE.DOG GLITCH ERROR","Zee.Dog collar with a 4-point buckle, weather-resistant polyester, reflective material, and durable zinc alloy rings. Iconic rubber logo for extra durability.",199,13,79.png,5
80,"Pet Carrier for Small Medium Cats Dogs Puppies","Airline-approved pet carrier with adjustable shoulder strap, dual seatbelt loops, and waterproof fabric. Four mesh sides for comfort and easy pet monitoring. Machine-washable fleece bed. Fits pets up to 15 lbs.",999,6,80.png,5
81,"Yeleo Trosetry Pet Cat And Dog Mattress","Cozy bed for pets with an open design for easy access. Made from skin-friendly, breathable material for comfort and health. Machine washable and durable, suitable for all pets.",109,19,81.png,5
82,"Pet Carrier Bag Front Back Carrier ","Durable pet carrier backpack for small to medium dogs. Features breathable mesh, adjustable straps, and safety hook. Wear it front or back for hands-free convenience. Available in 4 sizes.",142,16,82.png,1
83,"Iris Ohyama Pet Carry White/Beige","Lightweight pet carrier with adjustable front and top doors. Easy to store and washable. Size: 15.2 x 23.0 x 12.8 inches.",899,3,83.png,5
84,"Blue Terry Shark Robe","This sea-blue dog robe features white cuffs, a shark-themed hood with teeth, black eyes, and a tail-like bottom. Soft, high-quality material with a Baby Aspen label.",499,4,84.png,5
85,"Transparent Pet Carrier","This foldable pet carrier is made from durable EVC material, with a transparent design and 360° ventilation, perfect for travel.",347,15,85.png,5
86,"Pet Feeder Bowl Stainless Steel","The raised silicone mat catches spills, keeping floors clean. Durable, no-tip bowl with a rubber base, perfect for food or water. Dishwasher-safe for easy cleaning.",315,10,86.png,5
87,"QJZB Automatic Food Refill Feeder","The Automatic Water Dispenser keeps water clean with a siphon. The feeder prevents jams, is made from durable, safe material, and has a non-slip base to avoid spills.",637,11,87.png,5
88,"High Pet Dog Playpen Foldable Portable Exercise Cage","Easy to set up, this fence creates a safe barrier for pets. The 8-panel foldable design offers convenient storage and relocation.",1113,6,88.png,5
89,"Fancy Dress up Chihuahua Boots ","The package includes 2 pairs of stylish, durable dog shoes with a rubber sole. Soft, comfortable, and easy to wear for your pet.",145,2,89.png,5
90,"Clothes Warm Fleece Pet Costume ","High-quality fleece pet clothes with a cute elk design, hood, and button closure. Warm, comfy, and perfect for small dogs and cats in winter.",413,9,90.png,5
91,"Pet Backpack With Harness Collar Outdoor Travel","Dog backpack with harness and collar, designed like a mini school bag. Perfect for outdoor walks, travel, and carrying small essentials.",362,12,91.png,5
92,"Retractable Pet Reflective Lead Rope Retractor","Retractable dog leash with tangle-free coil, anti-slip handle, and durable ABS/nylon build. Available in 3M, 5M, and 8M for all dog sizes.",349,6,92.png,5
93,"BECHIVA Soft real leather collar","Handcrafted leather leash for small pets, lightweight and soft with easy buckles and a D-ring for leash or tag attachment.",278,18,93.png,5
94,"Nylon Rope Dog Lead","Heavy-duty reflective dog leash made of bold nylon rope with a foam handle. Black only. Durable, safe, and great for night walks.",129,10,94.png,5
95,"Dog Muzzle Set Adjustable Pet","The Pet Muzzle Set is made of sturdy plastic to prevent biting, barking, and eating off the ground. It’s breathable, durable, and comfortable with a non-stuffy, eye-safe design and secure fit.",248,4,95.png,5
96,"Pet Pals Christmas Reindeer","The Pet Christmas Tutu Set is soft, breathable, and perfect for Christmas or any occasion. Easy to wear, keeping your dog cool and comfortable. Available in small and medium sizes.",199,18,96.png,5
97,"Outward Hound Slow Fun Feeder Bowl","The Outward Hound Fun Feeder dog bowl slows down eating by up to 10X with its unique meal-lengthening ridges.",369,5,97.png,5
98,"Stainless Steel Pet Food Bowl","Durable stainless steel pet bowl with a polished, easy-to-clean surface and anti-skid base. Suitable for food or water, and available in various sizes for dogs and cats.",89,20,98.png,5
99,"Arcadia Trail Step-In Harness Coat","The Arcadia Trail Step-In Harness Coat keeps your dog warm, safe, and visible with an adjustable harness and reflective zipper, perfect for outdoor adventures.",599,17,99.png,5
100,"Approved Teepee Pet House","The Approved Teepee Pet House is a durable, easy-to-assemble play space for pets, perfect for indoor and outdoor use. Pillow, blanket, and mat not included.",2349,2,100.png,5
